audit_id,dataset,auditor_id,label_semantic,label_answerable,failure_type,confidence,notes
v4_paper1000_mixed_blind1000-00241,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00242,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00243,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00244,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00245,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00246,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00247,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00248,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00249,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00250,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00251,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00252,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00253,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00254,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00255,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00256,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00257,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00258,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00259,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00260,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00261,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00262,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00263,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00264,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00265,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00266,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00267,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00268,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00269,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00270,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00271,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00272,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00273,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00274,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00275,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00276,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00277,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00278,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00279,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00280,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00281,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00282,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00283,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00284,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00285,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00286,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00287,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00288,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00289,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00290,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00291,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00292,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00293,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00294,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00295,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00296,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00297,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00298,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00299,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00300,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00301,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00302,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00303,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00304,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00305,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00306,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00307,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00308,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00309,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00310,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00311,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00312,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00313,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00314,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00315,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00316,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00317,copenlu/fever_gold_evidence,auditor2,,,,,
